query_id,status,is_completed,judge_correct,judge_parse_error,search_calls,get_document_calls,total_tool_calls,budget_exhausted,actual_retrieval_searches,blocked_exact_duplicate_searches,unparsable_search_outputs,result_slots,unique_docids_seen,repeated_result_slots,repeated_result_slot_percent,zero_novelty_searches,low_novelty_searches_le_3_new,high_overlap_searches_ge_7_repeats,repeated_reasoning_events,max_exact_reasoning_repeat,retrieval_recall,citation_precision,citation_recall,explicit_cannot_determine,early_completed_before_budget,final_evidence_gap_signal,caveated_candidate_before_budget,productive_tool_calls,rejected_duplicate_calls,early_final_guard_triggered,early_final_recoveries,emergency_finalizer_attempted,emergency_finalizer_succeeded,retrieval_exclusions_applied,retrieval_fallback_applied,stagnation_guidance_count,model_confidence,gold_answer_literal_found_in_tool_output,extracted_answer_literal_found_in_tool_output,correct_answer,extracted_answer,run_file,eval_file
769,completed,True,True,False,10,1,11,False,10,0,0,100,47,53,53.0,1,3,3,0,1,0.5,1.0,0.5,False,True,False,False,11,0,False,0,False,False,False,False,0,85.0,True,True,Queen Arwa University,Queen Arwa University,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_769.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_769_eval.json
770,completed,True,False,False,24,0,24,True,13,11,0,130,46,84,64.6154,1,9,9,15,16,0.0,0.0,0.0,True,False,True,False,24,11,False,0,False,False,False,False,0,0.0,False,False,Laura Lojo-Rodriguez,None,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_770.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_770_eval.json
771,completed,True,True,False,3,3,6,False,3,0,0,30,22,8,26.6667,0,0,0,0,1,0.6666666666666666,1.0,0.3333333333333333,False,True,False,False,6,0,False,0,False,False,False,False,0,100.0,True,True,Vakkorama,Vakkorama,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_771.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_771_eval.json
772,completed,True,False,False,17,1,18,False,16,1,0,160,36,124,77.5,3,13,13,0,1,0.2,1.0,0.2,True,True,True,False,18,1,False,0,False,False,False,False,0,25.0,False,False,Secretary,None,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_772.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_772_eval.json
773,completed,True,False,False,13,1,14,False,13,0,0,130,44,86,66.1538,1,9,9,0,1,1.0,0.0,0.0,False,True,False,False,14,0,False,0,False,False,False,False,0,80.0,False,True,Red,white,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_773.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_773_eval.json
774,completed,True,False,False,11,1,12,False,11,0,0,110,48,62,56.3636,0,3,3,0,1,0.42857142857142855,0.2,0.14285714285714285,True,True,True,False,12,0,False,0,False,False,False,False,0,20.0,True,False,Georgia Hirst,None,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_774.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_774_eval.json
775,completed,True,False,False,14,2,16,False,13,1,0,130,46,84,64.6154,0,8,8,0,1,0.0,0.0,0.0,False,True,False,False,16,1,False,0,False,False,False,False,0,90.0,True,True,Boston,Luanda,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_775.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_775_eval.json
776,completed,True,False,False,16,2,18,False,16,0,0,160,62,98,61.25,1,7,7,0,1,0.8333333333333334,1.0,0.3333333333333333,False,True,True,True,18,0,False,0,False,False,False,False,0,85.0,False,True,The Dorset Culture of the Eastern Arctic,Cold Comfort,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_776.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_776_eval.json
778,completed,True,False,False,21,1,22,False,20,1,0,200,82,118,59.0,1,9,9,1,2,0.0,0.0,0.0,True,True,True,False,22,1,False,0,False,False,False,False,0,20.0,False,False,21,None,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_778.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_778_eval.json
781,completed,True,False,False,17,1,18,False,17,0,0,170,29,141,82.9412,8,16,16,0,1,0.0,0.0,0.0,True,True,True,False,18,0,False,0,False,False,False,False,0,0.0,False,False,Raheem Sterling,None,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_781.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_781_eval.json
783,completed,True,True,False,10,1,11,False,10,0,0,100,49,51,51.0,2,4,4,0,1,0.6666666666666666,1.0,0.6666666666666666,False,True,False,False,11,0,False,0,False,False,False,False,0,95.0,True,True,Electra,Electra,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_783.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_783_eval.json
784,completed,True,True,False,15,1,16,False,15,0,0,150,35,115,76.6667,4,11,11,0,1,0.6,1.0,0.6,False,True,False,False,16,0,False,0,False,False,False,False,0,85.0,True,True,Jacqueline Georgette Cantrelle,Jacqueline Georgette Cantrelle,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_784.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_784_eval.json
785,completed,True,True,False,12,1,13,False,12,0,0,120,61,59,49.1667,0,3,3,0,1,0.75,1.0,0.5,False,True,False,False,13,0,False,0,False,False,False,False,0,90.0,True,True,Rona Weerasuriya,Rona Weerasuriya,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_785.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_785_eval.json
786,completed,True,False,False,17,0,17,False,17,0,0,170,85,85,50.0,1,7,7,0,1,0.0,0.0,0.0,True,True,True,False,17,0,False,0,False,False,False,False,0,0.0,False,False,Kiran Shah,None,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_786.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_786_eval.json
787,completed,True,False,False,20,1,21,False,20,0,0,200,82,118,59.0,1,10,10,0,1,0.3333333333333333,1.0,0.2222222222222222,False,True,True,True,21,0,False,0,False,False,False,False,0,85.0,False,True,Emmanuel Kwesi Danso Arthur Junior ,Kwesi Arthur,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_787.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_787_eval.json
788,completed,True,True,False,8,1,9,False,8,0,0,80,38,42,52.5,0,4,4,0,1,1.0,1.0,0.8571428571428571,False,True,False,False,9,0,False,0,False,False,False,False,0,85.0,True,True,Taj-ul-Masajid,Taj-ul-Masajid,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_788.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_788_eval.json
790,completed,True,True,False,9,2,11,False,9,0,0,90,60,30,33.3333,0,2,2,0,1,0.5,0.5,0.5,False,True,False,False,11,0,False,0,False,False,False,False,0,95.0,True,True,"""Manos""","""Manos""",C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_790.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_790_eval.json
791,completed,True,False,False,13,1,14,False,13,0,0,130,32,98,75.3846,4,9,9,0,1,0.125,1.0,0.125,False,True,True,True,14,0,False,0,False,False,False,False,0,85.0,True,True,Jadal,JadaL,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_791.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_791_eval.json
792,completed,True,False,False,16,1,17,False,16,0,0,160,52,108,67.5,3,10,10,0,1,0.4,0.4,0.4,True,True,True,False,17,0,False,0,False,False,False,False,0,35.0,False,False,Oral creatine supplementation: A potential adjunct therapy for rheumatoid arthritis patients,None,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_792.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_792_eval.json
793,completed,True,True,False,7,2,9,False,7,0,0,70,44,26,37.1429,0,2,2,0,1,1.0,1.0,1.0,False,True,False,False,9,0,False,0,False,False,False,False,0,95.0,False,False,29/02,29/02,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_793.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_793_eval.json
794,completed,True,False,False,10,1,11,False,10,0,0,100,28,72,72.0,1,9,9,0,1,1.0,1.0,0.5,False,True,True,True,11,0,False,0,False,False,False,False,0,65.0,False,False,1419,3311,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_794.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_794_eval.json
796,completed,True,False,False,24,0,24,True,16,8,0,160,79,81,50.625,1,7,7,7,7,0.2,0.0,0.0,False,False,False,False,24,8,False,0,False,False,False,False,0,90.0,True,False,Odeal,Danny Brown,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_796.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_796_eval.json
