query_id,classification,correct_answer,extracted_answer,review_note,prior_judge_marked_same_answer_correct,run_file,eval_file
192,high_confidence_judge_error,Dr. Kang Se Hoon,Kang Se-hoon,Same person; honorific omission and Se-hoon/Se Hoon punctuation are non-semantic.,False,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_192.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_192_eval.json
216,high_confidence_judge_error,Manly Hall,Manly P. Hall,Same person; adding the correct middle initial does not change identity.,False,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_216.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_216_eval.json
219,judge_rejection_justified,Fall of the Queen Bean,Fall for the Queen Bean,Different title wording: 'for' versus 'of'. Rejection is justified.,False,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_219.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_219_eval.json
275,probable_or_policy_dependent,Union Carbide and Carbon Corporation.,Union Carbide Corporation,Same corporate lineage after a 1957 rename; acceptance depends on whether the historical founding name is required.,False,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_275.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_275_eval.json
278,probable_or_policy_dependent,MediaLab Group,Medialab,MediaLab is a natural short form of MediaLab Group; likely the same company.,False,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_278.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_278_eval.json
283,probable_or_policy_dependent,Zimri Elder,Zimri Eder,Retrieved full document names the protagonist Zimri Eder while the gold says Elder; likely a gold/source inconsistency.,False,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_283.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_283_eval.json
394,high_confidence_judge_error,wing three-quarter,Wing,Wing is the modern/common synonym for rugby wing three-quarter.,False,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_394.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_394_eval.json
406,probable_or_policy_dependent,Masata Kato,Masato Kato,Retrieved evidence identifies Masato Kato; the gold's Masata appears to be a typo.,False,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_406.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_406_eval.json
422,probable_or_policy_dependent,Nicotiana tabacum variety Wisconsin 38,Wisconsin 38,Wisconsin 38 uniquely names the requested Nicotiana tabacum variety; genus/species omission is not identity-changing.,False,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_422.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_422_eval.json
425,judge_rejection_justified,Graham Cracker Crumble,Graham,Graham alone is not the requested complete dessert topping. Rejection is justified.,False,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_425.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_425_eval.json
443,high_confidence_judge_error,Ivapur Hidra,Ivatherm Ivapur Hidra Hydrating Cream,Prediction contains the exact product name plus brand/category descriptors.,False,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_443.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_443_eval.json
445,high_confidence_judge_error,"multiple-membership, multiple-classification",multiple-membership multiple-classification model,Adding 'model' completes the name of the statistical model; same answer.,False,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_445.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_445_eval.json
509,judge_rejection_justified,Sacrofanite,Sacrofanoite,Retrieved evidence spells the mineral Sacrofanite; Sacrofanoite is a real spelling error.,False,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_509.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_509_eval.json
514,judge_rejection_justified,Maximilian Josef Sommer,Josef Sommer,Question explicitly asks for the full name; Maximilian is missing. Rejection is justified.,False,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_514.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_514_eval.json
516,high_confidence_judge_error,Sacred Heart High School,Sacred Heart High School Hammersmith,Prediction is the same school with a disambiguating location.,False,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_516.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_516_eval.json
519,probable_or_policy_dependent,Glafkos Clerides: The Path of a Country,Glafcos Clerides: The Path of a Country,Glafcos/Glafkos is a common transliteration variant; likely the same book title.,False,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_519.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_519_eval.json
532,probable_or_policy_dependent,Hartlepool United,Hartlepools United,The cited player represented Hartlepools United under that historical name; gold uses the modern singular form.,False,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_532.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_532_eval.json
