query_id,status,is_completed,judge_correct,judge_parse_error,search_calls,get_document_calls,total_tool_calls,budget_exhausted,actual_retrieval_searches,blocked_exact_duplicate_searches,unparsable_search_outputs,result_slots,unique_docids_seen,repeated_result_slots,repeated_result_slot_percent,zero_novelty_searches,low_novelty_searches_le_3_new,high_overlap_searches_ge_7_repeats,repeated_reasoning_events,max_exact_reasoning_repeat,retrieval_recall,citation_precision,citation_recall,explicit_cannot_determine,early_completed_before_budget,final_evidence_gap_signal,caveated_candidate_before_budget,productive_tool_calls,rejected_duplicate_calls,early_final_guard_triggered,early_final_recoveries,emergency_finalizer_attempted,emergency_finalizer_succeeded,retrieval_exclusions_applied,retrieval_fallback_applied,stagnation_guidance_count,model_confidence,gold_answer_literal_found_in_tool_output,extracted_answer_literal_found_in_tool_output,correct_answer,extracted_answer,run_file,eval_file
770,completed,True,False,False,24,0,24,True,13,11,0,130,46,84,64.6154,1,9,9,15,16,0.0,0.0,0.0,True,False,True,False,24,11,False,0,False,False,False,False,0,0.0,False,False,Laura Lojo-Rodriguez,None,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_770.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_770_eval.json
796,completed,True,False,False,24,0,24,True,16,8,0,160,79,81,50.625,1,7,7,7,7,0.2,0.0,0.0,False,False,False,False,24,8,False,0,False,False,False,False,0,90.0,True,False,Odeal,Danny Brown,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_796.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_796_eval.json
811,completed,True,False,False,24,0,24,True,10,14,0,100,65,35,35.0,0,2,2,14,15,1.0,1.0,0.8,False,False,False,False,24,14,False,0,False,False,False,False,0,100.0,True,True,Tweentrepreneurs,What About Blob?,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_811.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_811_eval.json
821,completed,True,False,False,24,0,24,True,5,19,0,50,30,20,40.0,0,1,1,16,16,1.0,1.0,0.3333333333333333,True,False,False,False,24,19,False,0,False,False,False,False,0,100.0,False,False,94%,None,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_821.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_821_eval.json
833,completed,True,False,False,23,1,24,True,20,3,0,200,72,128,64.0,5,11,11,6,7,0.4444444444444444,0.75,0.3333333333333333,True,False,False,False,24,3,False,0,False,False,False,False,0,60.0,False,False,Rudy Cox,None,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_833.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_833_eval.json
843,completed,True,False,False,23,1,24,True,11,12,0,110,25,85,77.2727,4,9,9,11,11,0.7142857142857143,1.0,0.42857142857142855,True,False,True,False,24,12,False,0,False,False,False,False,0,0.0,False,False,Mathilda Bjarnehed,None,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_843.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_843_eval.json
850,completed,True,False,False,23,1,24,True,12,11,0,120,32,88,73.3333,3,8,8,10,11,0.3333333333333333,0.0,0.0,False,False,True,False,24,11,False,0,False,False,False,False,0,75.0,True,False,Sleepwalker,B.O.B.,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_850.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_850_eval.json
856,completed,True,False,False,24,0,24,True,11,13,0,110,68,42,38.1818,1,3,3,11,11,0.0,0.0,0.0,False,False,True,False,24,13,False,0,False,False,False,False,0,65.0,False,True,Dave Chappelle,Jon Anderson,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_856.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_856_eval.json
863,completed,True,False,False,23,1,24,True,17,6,0,170,47,123,72.3529,7,11,11,5,5,0.3333333333333333,1.0,0.2222222222222222,False,False,True,False,24,6,False,0,False,False,False,False,0,50.0,True,True,Eno Ebele Jerry ,Eno Eze,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_863.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_863_eval.json
872,completed,True,False,False,24,0,24,True,12,12,0,120,48,72,60.0,1,6,6,7,3,0.5,1.0,0.25,False,False,False,False,24,12,False,0,False,False,False,False,0,50.0,False,True,Motshekga,van der Stel,C:\Users\Dell\BrowseComp-Plus\runs\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_872.json,C:\Users\Dell\BrowseComp-Plus\evals\atom-electron-1.3-9b-full-830-docs-v2-128k\run_qid_872_eval.json
